CurveName,Tenor,NPV,Duration,Convexity
FITTED_EXPONENTIAL_SPLINES:FLAT_ZERO,5 Years,103.050873,4.493894,21.568766
FITTED_EXPONENTIAL_SPLINES:FLAT_ZERO,10 Years,104.590453,8.038263,73.977010
FITTED_EXPONENTIAL_SPLINES:FLAT_ZERO,20 Years,105.975728,13.041441,219.667571
FITTED_EXPONENTIAL_SPLINES:FLAT_ZERO,30 Years,109.763072,16.545606,386.621819
FITTED_EXPONENTIAL_SPLINES:CONSTANT_ZERO,5 Years,103.050873,4.493894,21.568766
FITTED_EXPONENTIAL_SPLINES:CONSTANT_ZERO,10 Years,104.590453,8.038263,73.977010
FITTED_EXPONENTIAL_SPLINES:CONSTANT_ZERO,20 Years,105.975728,13.041441,219.667571
FITTED_EXPONENTIAL_SPLINES:CONSTANT_ZERO,30 Years,109.167764,16.472212,383.821924
FITTED_EXPONENTIAL_SPLINES:LINEARLY_GRADED_ZERO,5 Years,103.050873,4.493894,21.568766
FITTED_EXPONENTIAL_SPLINES:LINEARLY_GRADED_ZERO,10 Years,104.590453,8.038263,73.977010
FITTED_EXPONENTIAL_SPLINES:LINEARLY_GRADED_ZERO,20 Years,105.975728,13.041441,219.667571
FITTED_EXPONENTIAL_SPLINES:LINEARLY_GRADED_ZERO,30 Years,109.758457,16.545040,386.600231
FITTED_EXPONENTIAL_SPLINES:ROLLING_AVERAGE_ZERO,5 Years,103.050873,4.493894,21.568766
FITTED_EXPONENTIAL_SPLINES:ROLLING_AVERAGE_ZERO,10 Years,104.590453,8.038263,73.977010
FITTED_EXPONENTIAL_SPLINES:ROLLING_AVERAGE_ZERO,20 Years,105.975728,13.041441,219.667571
FITTED_EXPONENTIAL_SPLINES:ROLLING_AVERAGE_ZERO,30 Years,109.667967,16.533934,386.176552
FITTED_EXPONENTIAL_SPLINES:DUAL_BLENDED_ZERO,5 Years,103.040072,4.493862,21.568564
FITTED_EXPONENTIAL_SPLINES:DUAL_BLENDED_ZERO,10 Years,104.571850,8.038063,73.974575
FITTED_EXPONENTIAL_SPLINES:DUAL_BLENDED_ZERO,20 Years,105.956980,13.041092,219.660910
FITTED_EXPONENTIAL_SPLINES:DUAL_BLENDED_ZERO,30 Years,109.765495,16.547765,386.707890
